corpus_version,source_id,content_type,chunk_count,cross_page_count,context_repeated_count,human_verified_count,min_chars,median_chars,mean_chars,max_chars,below_min_count,above_max_count,build_warning_count,skipped_structural_only_count
gold_v1_3,SRC001,manual_table_chunk,4,0,0,4,101,133.5,136.8,179,1,0,23,6
gold_v1_3,SRC001,section_text,41,7,0,0,17,106,157.0,498,22,0,23,6
gold_v1_3,SRC003,question_recommendation,28,14,1,0,205,715.5,758.9,1658,0,0,23,6
gold_v1_3,SRC003,section_text,1,0,0,0,493,493,493,493,0,0,23,6
gold_v1_3,ALL,ALL,74,21,1,4,17,259.0,388.2,1658,23,0,23,6
