"source_id","title","short_name","language","document_type","publication_year","journal","citation","doi","issuer","target_population","scope","priority","local_filename","official_url","copyright_note","include_status","notes"
"SRC001","中国骨关节炎诊疗指南（2024版）","中国OA指南2024","zh-CN","clinical_guideline","2024","中华疼痛学杂志","中华疼痛学杂志, 2024, 20(3):323-338","10.3760/cma.j.cn101658-20240618-00074","中国骨关节炎诊疗指南专家组；中国老年保健协会疼痛病学分会","成人骨关节炎患者","诊断、临床分期、阶梯化治疗和综合管理","core","cn_oa_guideline_2024.pdf","https://rs.yiigle.com/CN101658202403/1512095.htm","local_use_no_redistribution","included",""
"SRC002","骨关节炎诊疗规范","中国OA诊疗规范2022","zh-CN","diagnosis_treatment_standard","2022","中华内科杂志","中华内科杂志, 2022, 61(10):1136-1143","10.3760/cma.j.cn112138-20220416-00280","中华医学会风湿病学分会","成人骨关节炎患者","骨关节炎诊断、鉴别诊断和规范化治疗","core","cn_oa_standard_2022.pdf","https://rs.yiigle.com/CN112138202210/1427841.htm","local_use_no_redistribution","included",""
"SRC003","中国膝骨关节炎临床药物治疗专家共识（2023）","中国KOA药物共识2023","zh-CN","expert_consensus","2024","中华内科杂志","中华内科杂志, 2024, 63(6):560-578","10.3760/cma.j.cn112138-20240402-00215","中国医师协会风湿免疫科医师分会骨关节炎学组","成人膝骨关节炎患者","药物选择、疗效评估、共病和用药风险","core","cn_koa_drug_consensus_2023.pdf","https://doi.org/10.3760/cma.j.cn112138-20240402-00215","local_use_no_redistribution","included","题名标注2023，但正式发表于2024年"
"SRC004","早期膝骨关节炎诊断与非手术治疗指南（2024版）","早期KOA指南2024","zh-CN","clinical_guideline","2024","中华医学杂志","中华医学杂志, 2024, 104(31):2895-2909","10.3760/cma.j.cn112137-20240503-01035","中国老年保健协会骨关节分会","成人早期膝骨关节炎患者","早期KOA定义、诊断和非手术治疗","core","cn_early_koa_guideline_2024.pdf","https://rs.yiigle.com/CN115399202004/1511507.htm","local_use_no_redistribution","included",""
"SRC005","OARSI guidelines for the non-surgical management of knee, hip, and polyarticular osteoarthritis","OARSI非手术指南2019","en","clinical_guideline","2019","Osteoarthritis and Cartilage","Osteoarthritis and Cartilage, 2019, 27(11):1578-1589","10.1016/j.joca.2019.06.011","Osteoarthritis Research Society International","成人膝、髋和多关节骨关节炎患者","非手术治疗及基于共病情况的个体化推荐","core","oarsi_nonsurgical_oa_2019.pdf","https://oarsi.org/education/oarsi-guidelines","local_use_no_redistribution","included",""
